,Game Title,Weekly Sales,All Time Sales,Weeks Out
3724,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
3725,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3726,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
3727,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
3728,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
3729,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
3730,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
3731,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
3732,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
3733,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
3734,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
3735,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
3736,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
3737,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
3738,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
3739,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
3740,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
3741,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
3742,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
3743,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
3744,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
3745,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
